Obs, X, y
1, 7.048, 54.46
2, 9.286, 67.50
3, 6.946, 56.41
4, 4.648, 42.95
5, 4.942, 46.16
6, 6.313, 53.43
7, 9.552, 70.16
8, 9.456, 69.27
9, 6.531, 53.98
10, 4.681, 47.09
11, 3.060, 39.33
12, 9.313, 67.98
13, 8.214, 62.48
14, 3.932, 41.18
15, 6.462, 55.52
16, 6.048, 52.56
17, 4.660, 46.27
18, 8.509, 64.80
19, 2.684, 37.74
20, 8.675, 65.72
21, 8.381, 65.14
22, 0.411, 31.50
23, 0.965, 33.68
24, 8.785, 70.51
25, 9.893, 75.25
26, 1.909, 32.28
27, 2.211, 30.54
28, 7.659, 59.05
29, 8.944, 64.81
30, 8.967, 60.29
31, 6.957, 51.65
32, 8.725, 56.93
33, 8.807, 56.81
34, 9.898, 66.27
35, 0.411, 18.95
36, 8.986, 61.50
37, 4.483, 40.16
38, 4.800, 40.79
39, 9.812, 65.04
40, 8.593, 57.20
